"","docid","text","person_id","first_name","last_name","date","Party","Constituency","label"
"602","text46640","What assessment he has made of the effect of the Government’s three-tier local covid-19 alert levels on the operation of the courts.",24728,"Nick","Smith","03/11/2020","Labour","Blaenau Gwent",3
"603","text58644","What recent assessment he has made of the progress of the covid-19 vaccination programme.",25658,"Stephen","Morgan","12/01/2021","Labour","Portsmouth South",3
"604","text39672","Furniture manufacturing is an enormously important part of the economy in my constituency, with firms such as Ercol and Hypnos Beds located in Princes Risborough. As a result of covid, the industry estimates a 25% to 30% reduction in UK furniture sales this year, with 10,000 jobs at risk. Will my hon. Friend join me in backing the industry’s “Buy the Best, Buy British, Save Jobs” campaign, which is also supported by the all-party parliamentary group on furniture makers, and outline what more she can do to support our furniture makers?",25925,"Greg","Smith","29/09/2020","Conservative","Buckingham",3
"605","text41882","In recent weeks, Ministers and Opposition Front Benchers have met upstairs in Committee to discuss such covid-related statutory instruments. It is welcome that we are debating this in the main Chamber because it means that local Members of Parliament can scrutinise them also. With that in mind, I do not intend to speak for long and I will probably limit the interventions I take — one thing I know is not to disappoint a roomful of colleagues who want to talk about their community.I will start with the good news. I have been critical throughout the pandemic about the time that it has taken between a statutory instrument being brought into effect, and it being debated. In one case there was a lag of nine and a half weeks. It makes a nonsense of parliamentary scrutiny if we rubber stamp measures months after they have come into effect. We must have a timely say, so that the British public can have confidence, and as the Minister said, this statutory instrument is just four days old — that is the good news.The bad news is that SI 2020/1074 amends SI 2020/1010, which came into force on 18 September, although it is not to be debated until Monday. We are discussing amendments to secondary legislation, even though we are  yet to discuss that secondary legislation. I am keen to hear from the Minister why things have happened in that order. Is it possible that the other SI is more controversial and is to be hidden upstairs and discussed after the fact? We have followed events over the past hour or so on the controversial SI on the curfew. That seems to have been pulled from upstairs entirely because it is coming downstairs. What on earth is going on? I hope the Minister can tell us so that we do not have to find out through anonymous briefings yet again. This is a reflection of rather chaotic, rather than competent, leadership.I suspect that the Government are doing this to head off division in their own ranks, once again putting the interests of the Conservative party ahead of the interests of the country. I say gently to would-be rebels — I say this at every opportunity — that if they do not like the delegated powers in the Coronavirus Act 2020, they should wait to see the ones in the Brexit-related legislation. For example, as drafted, the Medicines and Medical Devices Bill will hand to the same Secretary of State virtually unfettered powers over our entire medicines regime in this country. I hope that when the time comes, Members will be as keen and proactive to ensure that those powers are used in an appropriate way as they have been with these secondary powers.The Opposition do not oppose the substance of SI 2020/1074. We know that as infection rates increase, so will restrictions. In this case, Liverpool city region, Warrington, Hartlepool and Middlesbrough are being added to those areas where mixing indoors is barred, which is an inevitable part of rising infection rates. We in Nottingham are awaiting that same call this week.",25687,"Alex","Norris","07/10/2020","Labour/Co-operative","Nottingham North",3
"606","text60205","A Kashmiri man showed me footage of his home in Kashmir on fire, purportedly after being shelled by India. I have provided to the Government some evidence that cluster munitions were used by India against another village in Kashmir. These things really matter to my constituents. After the pandemic, people in Wycombe could easily be in their homes in Kashmir. Is it not time to take seriously a UN report on the human rights situation on both sides of the line of control, to have a co-ordinated international effort to put UN human rights inspectors on both sides of the line of control and then to move forward with a new human rights framework for the UK, which can reassure diaspora communities such as mine in Wycombe that the UK is standing up for their human rights when they are in the countries from which their families and their ancestors hail?",24786,"Steve","Baker","19/01/2021",NA,NA,3
"607","text51845","What discussions she has had with the Chancellor of the Exchequer on the economic effect of the covid-19 outbreak on (a) women, (b) disabled people and (c) Black, Asian and minority ethnic people. ",25909,"Zarah","Sultana","25/11/2020","Labour","Coventry South",3
"608","text16886","I must say, in response to the questions from the Leader of the Opposition, that we all need to do what we can to bring all our people home, and that needs to happen now.The Prime Minister said that the UK is putting its arms around all our workers. I hope that that will become the case because, as of today, it is not. This  morning, the Resolution Foundation estimated that one in three people in self-employment — a total of 1.7 million workers — are now at risk of losing their income. In Scotland, that means that 320,000 self-employed people are deeply concerned about their jobs and the families they support. Last Friday, the Prime Minister and his Chancellor promised the self-employed that help was coming. Only yesterday, the Chief Secretary to the Treasury told them,“we have not forgotten you — help is coming.” —  [Official Report, 24 March 2020; Vol. 674, c. 207.]These are the same promises that have been made for weeks now, yet they, and we, are still waiting. Can the Prime Minister explain why a package of support for the self-employed was not put in place before we announced the lockdown?",25361,"Ian","Blackford","25/03/2020","Scottish National Party","Ross, Skye and Lochaber",3
"609","text67872","It is always interesting to get a lecture on economic probity from a member of the Liverpool Labour party.I will start by saying that I am chuffed to bits. I am very pleased indeed. I might not have got my bid for HS4 between Heywood and Middleton, but there is still time for that, and this is a very good Budget indeed. The past year and a bit has been exceptionally challenging for the country as a whole, but now we are on the path back to normality. We are looking forward to a future, and we have a Budget that supports our ambition to get the country back on its feet.Yesterday, the Chancellor laid out a fiscal plan not just to help larger companies and the structures of our economy but to support SMEs, the self-employed and those in low-wage employment. We want to get our high streets and local businesses back on track soon and nowhere can that be more true than in Heywood and Middleton.I am pleased to see that the uplift in universal credit remains until October. I thank the DWP and its team for the inestimable amount of support they have given my constituents and many others who face very real hardship as a result of the difficult but necessary decisions the Government had to take to combat the pandemic. Universal credit has been one of the quiet success stories of the pandemic response. Without its flexibility and agility, many would have found themselves in a precarious position as a result of a legacy benefit system that was still far too complex and clunky to cope.Because of the importance of safeguarding livelihoods, I also welcome the extension of the furlough scheme and the self-employed income support scheme as part of a package of measures to get people back to work safely. The vast majority of people sat at home on these schemes want to get back to their jobs and their normal lives, and allowing the scheme to run until the end of September will give businesses the headroom they need to get their workforce back safely.There are a large number of announcements for businesses and job creation in the Budget, one of the most unprecedented being the super deduction, which does exactly what it says on the tin — it is actually super. For companies in Heywood and Middleton, it will be one of the biggest tax cuts in their history and it will get them investing, creating jobs and driving our economic recovery.Reopening the economy will also need to take account of the fact that some jobs and businesses simply have not been able to survive the economic uncertainties of the pandemic. So, with the launch the restart scheme, hundreds of thousands of long-term unemployed people will be supported back into work. The doubling of the number of work coaches, the introduction of the lifetime skills guarantee to fund level 3 qualifications for all adults and the launch of kickstart to help 250,000 young people into jobs will provide a comprehensive framework for our future prosperity. I welcome the doubling of the incentive payment to SMEs to take on apprentices of any age to £3,000 and the £126 million to triple the number of traineeships next year. With excellent further education providers such as Hopwood Hall College and Rochdale Sixth Form College supporting my constituents, I am confident that they will be well placed to take up these opportunities.It takes vision and courage to respond to a world crisis with optimism and ambition. The right hon. and learned Member for Holborn and St Pancras (Keir Starmer), the Leader of the Opposition, responded with nothing but doom, gloom and a comedy routine that was, ironically, the least funny bit of a pretty poor performance. Rubbishing freeports, deriding world-leading employment support and talking down the north — maybe it is just the way he tells them, Madam Deputy Speaker.",25825,"Chris","Clarkson","04/03/2021","Conservative","Heywood and Middleton",3
"610","text63609","My hon. Friend asks a good question, and his constituents should feel confident. I was heartened to hear of the overwhelming number of legal professionals across the country who have stepped forward to offer assistance during the pandemic. It is a true testament to the very nature of pro bono; as a tool, it is there to give back and help those most in need. I heard from members of my pro bono committee in September about the impact of the pandemic on their services, and the resilience and flexibility that they have shown in the face of such adversity is very impressive and much appreciated.",24866,"Michael","Ellis","04/02/2021","Conservative","Northampton North",3
"611","text49364","I thank the Minister for his answer, and I join him in his praise for Buckinghamshire Council, which has worked tirelessly through this pandemic. Does he agree with me that this proposal from the council has all the potential ingredients for success, because it is place based and it has support from the local enterprise partnership, health partners, universities, and the voluntary and community sector? Will he therefore urge his officials to engage in conversations with the council as soon as is practically possible?",25895,"Rob","Butler","16/11/2020","Conservative","Aylesbury",3
"612","text58526","Teachers in Vauxhall are working tirelessly to manage the delivery of classrooms online as well as teaching the most vulnerable key worker children in our schools. The Minister highlighted earlier that he will prioritise those most likely to die and that he will keep teachers at the forefront of his mind. Can I please ask him why teachers and school staff on the frontline of the pandemic are not being protected? What is the timeline for getting them vaccinated?",25759,"Florence","Eshalomi","11/01/2021","Labour/Co-operative","Vauxhall",1
"613","text13319","I asked the chief medical officer this precise question this morning, so I can report to the right hon. Member what the chief medical officer says is the answer to this question. The degree of resistance is deemed to be very high, especially in the first year or more afterwards, for similar coronaviruses, and is therefore likely to be very high for this one. It is good news that it is highly likely that once people have got it and recovered, they are going to be okay. That is obviously good news for people who have had it, including our hon. Friend the Member for Mid Bedfordshire.",24773,"Matthew","Hancock","11/03/2020","Conservative","West Suffolk",3
"614","text65491","I want to welcome and to raise a hallelujah, along with parents and children, for the good sense of schools returning for all pupils from 8 March. It is the right thing to do on so many levels. May I ask the Prime Minister, however, what evidence has driven his decision that outdoor sport — not in-school outdoor sport, but wider outdoor sport — for those same children cannot go ahead for another month? Furthermore, can he say why, after all the good work that they did last year to create covid-secure environments, restaurants and cafés face another three months before they can open in any meaningful way? What is the evidence  that he has seen that has convinced him to make that decision today?",24901,"Steve","Brine","22/02/2021","Conservative","Winchester",2
"615","text16229","The Bill extends to five days from three the length of time for which somebody in hospital can be held waiting to be sectioned. That may seem like a minor change, but for the individual concerned it could make a significant difference. I hope Ministers can reassure the House that the intention should still be to adhere to the timetable set out in the Mental Health Act, with the changes we are discussing to be used only if absolutely necessary.Let me turn to some of the proposals on education and schooling. Many parents of children with special educational needs and disabilities will understand the need for flexibility during this difficult time, but they are also extremely nervous that they could see the erosion of the hard-fought-for rights of disabled children and young people, children and young people with special educational needs, and their families. The Bill gives the Secretary of State powers to change section 42 of the Children and Families Act 2014: rather than giving children rights in law, it would only request that public  bodies take “reasonable endeavours”. That sets a low bar, and we will seek to change that provision to a duty to take all practical steps, which will go much further.Let me move on to some of the other issues in the Bill. Others have alluded to concerns that the Bill still does not go far enough in providing people with the incomes that they need to self-isolate. We welcome much of the Chancellor’s statement last Friday setting out plans to support the incomes of workers impacted by the coronavirus outbreak. However, there are still some gaps in the provisions that were offered. Currently, the proposal for income support through the job retention scheme does not include the self-employed and freelancers, whose incomes are increasingly being seriously affected by the coronavirus outbreak. Will the Government today offer assurances to those groups of workers, who do not have a safety net to safeguard and help them through this time?We have welcomed the new Government measures to improve access to statutory sick pay for workers. However, the Bill does not extend eligibility to all workers, including the just under 2 million workers who earn less than the qualifying threshold of £118 a week on average. It does not raise the level of statutory sick pay, which is, at £94.25, already the second lowest rate in Europe. We hope the Government will respond on those issues quickly because, as we have continually said throughout this crisis, people should not be expected to make a choice between their health and hardship.Nobody should lose their home because of this virus. It is welcome that Ministers have listened to Labour and committed to an evictions ban for renters, but despite the Prime Minister’s promises that the Government would legislate to that effect, no such measures are in the Bill. Some 8.5 million households rent their home from a private, council or housing association landlord in England. Our analysis of Government statistics shows that 6 million renting households have no savings at all and are particularly vulnerable if they lose their job or have their hours cut as a result of coronavirus. To give people confidence and reassurance during this difficult time and to ensure that no renter loses their home as a result of coronavirus, rent needs to be suspended for those adversely affected by the impact of the coronavirus outbreak.Like many Members across the House, the Opposition support this Bill with a very heavy heart — heavy not just with the shock and grief that this deadly virus has brought, but given the very real threats that emergency powers of this nature pose to human rights. The Bill contains the most draconian powers ever seen in peacetime Britain — powers to detain and test potentially infectious members of the public, including children, in isolation facilities; powers to shut down gatherings, which could impede the ability to protest against the overall handling of the crisis or against the abuse of the powers themselves. It needs no explanation and very little imagination to understand the huge potential for abuse that such powers and others in the Bill, however well intended and needed, still give rise. Those words will chill every liberal and libertarian instinct of Members across this House, which is why we were grateful to the Health Secretary and the Solicitor General for discussing these measures with us and with my shadow Cabinet colleagues in the rapid preparation stage of this Bill.We have heard many wartime analogies in the press. Many here have talked about Winston Churchill. Of course, Churchill was remembered not only for victory in the war, but for the European convention on human rights at the end of the war. Notwithstanding the anti-Human Rights Act and anti-judicial review grumblings that we have heard in recent times, this Bill comes under the cover of a statement of compatibility under section 19 of the Human Rights Act. Further, the Bill does not attempt to oust the supervisory jurisdiction of the courts. That means that every exercise of Executive power or administrative action under the legislation must and will be measured against human rights and common-law standards. These include necessity, proportionality, rationality, fairness and, crucially, non-discrimination. I thank the Government for that concession on their part and for agreeing, I hope once and for all, that human rights and the rule of law, far from impeding national efforts in time of crisis, should instead guide and inspire them.It is important that various measures in the Bill, some interfering with liberties and others deregulating standards, may be turned on and off, as and when needed, by the appropriate Administration under our devolution settlement. It is welcome that the Bill contains a two-year sunset clause, but as we have discussed, two years is a very long time in normal days and longer still in the context of this pandemic. That is why we tabled an amendment last week seeking parliamentary votes on the renewal or revocation of these emergency powers at six-monthly intervals. Indeed, many of us would prefer even more frequent reviews, but given the particular challenge even for Parliament of this crisis, I am glad that the Government seem to have moved some way towards the compromise offered by the Opposition in the constitutional interest.",25120,"Jon","Ashworth","23/03/2020","Labour","Leicester South",3
"616","text65955","Halton Borough Council ran out of funding for discretionary covid isolation payments despite the strict criteria for eligibility. Just 171 constituents have been helped. The council has applied for further funding, but what the Government have offered will not be enough. Other constituents failed to qualify for help due to the criteria set by the Prime Minister’s Government. Will he look again at this and bring forward a properly funded scheme so that no constituent is in a position where they cannot afford to isolate? We need this to happen if we are to continue to drive down covid-19 infections.",10610,"Derek","Twigg","24/02/2021","Labour","Halton",3
"617","text38804","It is always a pleasure to follow my right hon. Friend the Member for Forest of Dean (Mr Harper). In the event that we went back to the level of lockdown that we had in April, of course the Government would reconsider the situation.I note the point made by my right hon. Friend the Member for Basingstoke (Mrs Miller) about more support for families. That is very important. An interim chief executive of IPSA has just been appointed and I will ensure that it is taken up with him.My right hon. Friend the Member for Gainsborough (Sir Edward Leigh) goes back to the 18th century, which shows what a modernist he is, but it is of course true that overcoats are not meant to be worn so that people do not send somebody in their place to vote.My right hon. Friend the Member for Staffordshire Moorlands (Karen Bradley), the distinguished Chairman of the Procedure Committee, made a number of points. It is really important that Members know that they do not have to give the proxy to Whips. That is fundamental; they can give it to anyone they like. And remote voting is not that robust because of the conditions mentioned by my right hon. Friend the Member for Gainsborough, in that wi-fi goes down.I am so grateful for the speech by the hon. Member for Edinburgh East (Tommy Sheppard). I am not sure if he is going to like this — it is part-flattery and it is part-disagreeing with him — but, when he is here, his points are made 10 times more effectively than when he is appearing up on the screen. I do not know whether, from my point of view, that is a good or a bad thing, because his points come across extremely well, but we are key workers as Members of Parliament, and therefore I think we need to be here to hold people like me to account, which is a thoroughly good thing,I finish by thanking the right hon. Member for Walsall South (Valerie Vaz) for her support on these motions.Question put and agreed to.Ordered,(1) That:(a) the Resolution of 28 January 2019 (Proxy Voting (Implementation)), as amended on 16 January and 20 July 2020,(b) the Resolution of 4 June 2020 (Proxy Voting (Extension)), as amended on 10 June 2020, be rescinded.(2) That the following Standing Order be made:VOTING BY PROXY(1) A Member eligible under paragraph (2) may arrange for their vote to be cast by one other Member acting as a proxy (a proxy vote) under a scheme drawn up by the Speaker in accordance with this order and published by him.(2) A Member is eligible for a proxy vote by reason of absence from the precincts of the House for childbirth or care of an infant or newly adopted child, subject to the conditions set out in the scheme published under paragraph (1) of this order.(3) A proxy vote may be cast:(a) in any division, including a deferred division, in the House, in Committee of the whole House, or in any legislative grand committee, save as provided in paragraph (4) below; and(b) in a ballot cast in an election under Standing Order No. 1B (Election of Speaker by secret ballot), Standing Order No. 2A (Election of the Deputy Speakers), Standing Order No. 122B (Election of select committee chairs) and Standing Order No. 122D (Election of Chair of the Backbench Business Committee).(4) No proxy vote shall be reckoned in the numbers participating in a division for the purposes of (a) Standing Order No. 41(1) (Quorum), and (b) Standing Order No. 37 (Majority for closure or for proposal of question).(5) (a) A proxy vote may be cast only if the Speaker has certified that the Member for whom the vote is to be cast is eligible under the terms of this order.(b) The Speaker shall cause that certificate, including the name of the Member nominated as a proxy, to be entered in the Votes and Proceedings no later than the sitting day on which it takes effect.(6) A vote cast by a proxy shall be clearly indicated as such in the division lists published under the authority of the House.(7) A Member is also eligible for a proxy vote by reason of absence from the precincts of the House in circumstances where there have been complications relating to childbirth; and the Speaker may make appropriate provision for the exercise of a proxy vote in such circumstances in the scheme drawn up under paragraph (1) above.",24926,"Jacob","Rees-Mogg","23/09/2020","Conservative","North East Somerset",3
"618","text31954","Thank you, Madam Deputy Speaker. It is vital that as we shape our future trade policy, we do it in a way that maximises the benefits of our new-found independence but does not sacrifice key industries in the UK. In the context of an economy facing the greatest challenges in my lifetime due to covid-19, we are certainly not in a place where we can sacrifice any industry, let alone the backbone of our economy: our agriculture industry.It is not too long ago that the Agriculture Bill was debated in this House. In my contribution to that debate, I made clear the importance of protecting British farming and the high standards that it upholds in any future trade agreement. The opportunity to enshrine all that is good about our agriculture industry in that Bill was not taken at that time. That was deeply regrettable and caused much concern among my constituents.In this Bill we have another opportunity — an opportunity to make it clear to the farmers and agri-food businesses that have been an essential component of the national  effort against coronavirus that they will not be sacrificed in any future trade agreements. Indeed, we ought to be exploring how we can help the industry to thrive in coming years and to share in the benefits of life outside the EU. To do that, the fundamental building block is standards. In the context of our agriculture industry, future trade policy must respect the high production standards in terms of animal welfare and environmental protection to which our farmers adhere. We know that comes at considerable cost to local farmers and that overseas farmers have significant cost-of-production advantages due to lower regulatory requirements. In simple terms, if the UK market is flooded with substandard products, it will result in the demise of the industry.To that end, the establishment of a trade and agriculture commission is very welcome, and I thank the Secretary of State for Northern Ireland for ensuring that the voice of Northern Ireland is heard on the commission by appointing Mr Victor Chestnutt, the incoming president of the Ulster Farmers Union. In addition to that forum, however, we need to ensure that Parliament has a strong voice and a meaningful say in the shape of future trade agreements in relation to mandating, negotiating principles and approval of any such deals. Our role should be proactive, not passive. That is why we support new clause 4. Parliament’s role must be enhanced ahead of negotiations; it should be for Parliament to scope out the critical negotiating objectives; to ensure that the interests of all parts of the UK are actively considered and prioritised, the devolved Administrations should also have a meaningful role.We recognise the important provision the new clause makes for sustainability impact assessments, such as of environmental effect, the impact on animal welfare and health concerns. That ensures compliance with current — ",25562,"Carla","Lockhart","20/07/2020","DUP","Upper Bann",3
"619","text32727","I am pleased to be able to speak in this end-of-term debate. On behalf of the constituents of Newport East, I would like to put on record our enormous gratitude to the workers who have been there for us and kept services up and running throughout this unprecedented crisis, including our wonderful NHS staff, emergency service workers, retail staff, council workers, school staff and many more. I also want to take this opportunity to thank all the community groups and organisations that have done so much unsung work on the ground to support people, including the two food banks based in Newport East — Raven House Trust and Caldicot — and the Trussell Trust, Jesus Cares and Feed Newport, which do such a wonderful job. I thank those who do not do it for the thanks.The Aneurin Bevan University health board region, which covers my constituency, was initially a hotspot for the virus and one of the worst affected areas in the UK when the virus took hold. Since then, there has been a dramatic fall in the number of new cases, and it is fantastic that the virus has been so well contained in Gwent. There is no doubt that this is down to the remarkable work of our brilliant NHS staff — a testament to the value of our health service in the region in which it was conceived and the diligence of the public in adhering to the guidance from the Welsh Government over the past few months. On that note, I would like to thank the First Minister of Wales, Mark Drakeford, and his Cabinet colleagues for the considered and dignified leadership that has been shown throughout the pandemic. That has made a real difference.The support provided by the Welsh and UK Governments has been welcome and a lifeline for many. However, it is important to note that, as my hon. Friend the Member for Manchester, Withington (Jeff Smith) said, many groups have fallen through the cracks of the support provided by the UK Government. I want to mention some of those businesses and individuals in my constituency.Support for the self-employed has not been comprehensive, and many hard-working individuals have missed out — people like the 68-year-old self-employed handyman who gets more than 50% of his income from his state pension and was not entitled to any support, or the constituent who became self-employed part-way through the year and was counted as having more than 50% of earnings from employment so was excluded from Government support. Those are just some of the 3 million people excluded from help, and we need the Government to address that.Then there is a whole cohort of people who were not placed on furlough by their employers, including people advised to shield or self-isolate who received just statutory sick pay, agency workers who were laid off and working students who could not claim universal credit. There are also those who have been unable to apply for bounce-back loans despite fitting the eligibility criteria, because banks refused their application for business accounts due to credit ratings.A number of other businesses have been left in the lurch — in particular, in my constituency, the hospitality supply chain and the exhibition and events industry. We think of all those who have lost their jobs during the pandemic or are now at risk, including constituents of mine at Virgin, Caldicot Tinmasters, the Orb steelworks, which closed on 3 July, EnerSys, Newsquest, British Airways, the Celtic Manor and more. I hope that the Government will look at more ways to support those different groups over the following months. I urge them to look at the report by Chwarae Teg and the Fawcett Society on the devastating impact of coronavirus on women and girls in the UK, highlighted to me by Newport women’s institute. The crisis has made existing inequalities worse, as women are the majority of those in poverty and are more likely to be in low-paid, insecure work. There are very good recommendations in the report, which I ask Ministers to look at.Along with the hon. Member for Scunthorpe (Holly Mumby-Croft), I co-chair the all-party group on steel and metal-related industries, so I would like to say a few words about the steel industry. The Government must look urgently at what further steps they can take to support our industry in both the short and long term. The steel sector has seen a huge drop-off in orders during the pandemic, and many UK steel companies are still waiting for liquidity support some four months since the Government pledged to do everything they could to support businesses. I am glad that the Prime Minister acknowledged this in Prime Minister’s questions, but it is high time that it was backed up with more substantive action.Given the importance of the sector’s supply chains in trading relationships with mainland Europe, urgent clarity is needed on how steel exports will be treated under the EU steel safeguards in 2021, which draws ever nearer. I know that Trade Ministers are working with UK Steel on that, which is welcome. Steel should and can play a vital role in the economic recovery from the pandemic, and I fully support Community, Unite and GMB unions’ “Britain, we need our steel” campaign, which calls on employers and the Government to create a plan that uses Britain’s steel and invests in our industry and our people. That will require the Government prioritising UK steel in major construction and infrastructure projects such as HS2 and an auto scrappage scheme. We must ensure that we use our steel.As I have emphasised repeatedly in this place and in meetings with Ministers, the situation at the Orb steelworks, which sadly closed on 3 July, raises a generation-defining question: do we want to be a country that manufactures goods or one that just imports them? We need a comprehensive UK industrial strategy if we are to avoid days like 3 July, supporting a thriving manufacturing base, which will be the foundation of Wales’s and the UK’s future economic success.",11732,"Jessica","Morden","22/07/2020","Labour","Newport East",3
"620","text21292","What assessment she has made of the effectiveness of the handling by the CPS of emergency workers' assault cases during the covid-19 outbreak. ",24944,"Craig","Whittaker","04/06/2020","Conservative","Calder Valley",3
"621","text50123","I could not disagree more with the right hon. Gentleman; he is totally wrong. What the UK does as a whole is far bigger, better and more important than what we can do as individual nations and regions. Let us look at the way in which the UK has pulled together during the pandemic: the way in which the armed services have worked to get testing throughout the whole UK; the way in which the furlough scheme has been deployed across the UK; and the billions and billions of pounds that have been found to help people across the whole UK, and businesses in Scotland, Wales, Northern Ireland and England. The UK has shown its value and will continue to show its value.The right hon. Gentleman talks about wanting to take Scotland back into the European Union. That seemed to be what he was saying just now. What he and the people of Scotland should understand is that that is a massive surrender of power by the people of Scotland straight back to Brussels, just as this country and the people of Scotland have taken it back again. That is power not just over many aspects of their lives and regulations, but, of course, to control Scottish fisheries as well. All that would be lost under his programme, and I do not believe that it will commend itself to the  Scottish people. That programme was decisively rejected in 2014. I believe that it is something that they would almost certainly reject again, but, as he said before — ",10999,"Boris","Johnson","18/11/2020","Conservative","Uxbridge and South Ruislip",3
"622","text59760","I begin by thanking the hon. Member for Oxford West and Abingdon (Layla Moran) for her superb opening to the debate and for her leadership of the all-party group.My experience with covid began in early March, when I started to feel grotty and run down. I just wanted to rest, but as a precaution I phoned NHS 111, which suggested to me that it could not possibly be covid because no cases had been reported in M34, even though I explained to them that I worked in hotspot SW1. Eventually, typical covid symptoms developed, so I spent the next fortnight in self-isolation. The illness lasted for about 12 days, by the end of which the country was in lockdown 1, but the reality is that, although the coronavirus passed, the effects are still with me today.Thankfully, research is now being carried out and the Government recognise long covid as being real. That has been a battle. I was lucky: my GP is brilliant, and from an early stage recognised my condition — long before it had the name “long covid”. My condition is not as severe as it was even just a few months ago. There have been real improvements, but it has been a hard slog  to get here. For the first seven months or so, the exhaustion came back frequently and to the point where just doing simple tasks around the House brought me out in massive sweats as if I had run the London marathon. I had lots of dizzy spells; I have never had vertigo before this. And oh, the brain fog! In a job where we have to be razor sharp, my short-term memory is shot to pieces. I have had to learn to pace myself. Trying to push my limits would set me back. I still have to remind myself not to overdo it.The lasting symptom is still the brain fog. When it is bad, taking in information and processing it is so difficult. It is physically and mentally tiring, often triggering headaches, dizziness and vertigo. I am fortunate in having been able to balance work with my disabilities. Virtual participation and proxy votes have helped. I talk about the difficulties of doing my job, but what about the mechanic, the builder, the emergency worker, the teacher, the nurse — people who do not have the luxury of virtual participation, aides-mémoire, and an efficient and brilliant office to hide deficiencies? They are left to struggle and make the most of it, or to lose their jobs. On that point, the Department for Work and Pensions has to do more to recognise the condition for work capability assessments and other interviews.I am so grateful to some of the representatives from long covid support groups for meeting me earlier this week. They want the Government to acknowledge that children can also get long covid. Of course children often present with symptoms different from adults’, so an awareness campaign is required, but children should also have access to treatment in long covid clinics and throughout the NHS.The problem of long covid is not going away; it is growing as the number of people catching covid grows. I would like to hear from the Minister about a holistic approach, with research, treatment and support in the health sense, but also in the wellbeing sense, the workplace sense and the family sense too. Let us support people and their families — ",11531,"Andrew","Gwynne","14/01/2021","Labour","Denton and Reddish",3
"623","text39579","I would like to start by paying tribute to all the fantastic public sector workers in the health service, our local authorities and the police, who have worked so hard during the pandemic so far, and of course have many months yet to face.Over the past six months, we have learned that this pandemic impacts people’s physical, mental and financial wellbeing, and I wish to turn to each of those individually. I am a little disappointed that my the Under-Secretary of State for Health and Social Care, my hon. Friend the Member for Bury St Edmunds (Jo Churchill), has left her place on the Front Bench, because I have been in correspondence with her over the past few months about the impact it has had on women seeking treatment for other conditions — specifically breast cancer patients who are perhaps waiting for reconstructive surgery. She has received a long list of written questions from me on that subject, highlighting that the delays are in some cases well over a year for women who have had drastic surgery for cancer and are waiting to have their reconstruction. One constituent who contacted me could not even get an appointment for a breast prosthesis, and there was no indication of when that date may come. It is imperative that our health service is protected from the worst ravages of this pandemic so that it can bring back in all those patients who are waiting for treatment.Numerous constituents have contacted me about the issue of mental wellbeing. We are very blessed in Romsey to have an active community of choirs and orchestras.  Everyone who contacted me from one of them has made the point that that activity is about their mental wellbeing. It is an opportunity to get out and do something that they find rewarding and that gives them social contact and a sense of community. I urge Ministers to think carefully about how restrictions on that sort of activity can lead, in the most extreme cases, to the tragic suicides that the hon. Member for North Antrim (Ian Paisley) mentioned. We are very conscious of the fact that the pandemic has had a terrible impact on people’s emotional and mental wellbeing, including all those 18-year-olds who have just disappeared off to university and found themselves in very difficult circumstances.I also want to talk about the financial circumstances of companies up and down the country. I echo the comments of my right hon. Friend the Member for Epsom and Ewell (Chris Grayling) about the events industry. Just last week, I visited Beat the Street and Phoenix Bussing Services — the country’s largest supplier of tour buses. I was given a tour of Lady Gaga’s schedule tour bus. That company made the point that it has 66 buses laid up in its yard, each one of which represents an investment of half a million pounds. It has had a £24 million turnover each and every year apart from this one, and there is no end in sight. It is deeply concerned about what that will mean for its viability.Some industries have worked brilliantly to address the situation they find themselves in and, indeed, to help. Polystar Plastics in Southampton, which is run by a constituent of mine, is now producing millions of PPE aprons — something it had never done before. Of course, it is looking for contracts and at how the Government’s tendering system will make sure there are opportunities for UK suppliers so that we do not maintain our dependence on those from overseas.My right hon. Friend the Member for Basingstoke (Mrs Miller) mentioned people with disabilities. We waited far too long for the equalities impact assessment of the Coronavirus Act 2020. When we are asked to renew the Act in just a few days’ time, there will be a binary choice. On the Care Act easements, which only a handful of local authorities have used, we will be asked simply yes or no, not whether we can put a separate time limit on them or whether they are needed at all. On the easements to the Mental Health Act 1983, which have not been used, we will again be asked whether we accept the whole package and renew it. I argue — as the Women and Equalities Committee has — that there is no case to renew that carte blanche with another six-month extension. We need to drill down into which part of the Coronavirus Act are need and which parts could be repealed. I echo the comments that the hon. Member for Rhondda (Chris Bryant) made about that point.I finish with a plea for mothers — expectant women who cannot have their partners attend a scan or antenatal appointment with them. I accept that that is a local decision made by individual trust, but we need to find ways to support mothers who face horrendous decisions and want their partner by their side or, worse, go into a scan expecting good news and receiving bad. If the message has not gone out loudly enough from the Department of Health and Social Care that trusts must help them, it should now.",24809,"Caroline","Nokes","28/09/2020","Conservative","Romsey and Southampton North",2
"624","text28127","Fully reopening schools in September is absolutely the right thing to do. For some children, the experience of lockdown will have been characterised by social isolation, lack of routine and, in some cases, trauma. What is my right hon. Friend doing, through the guidance published today and other measures, to help schools with an increase in  poor behaviour from September? May I encourage him to bring forward recommendations in the Timpson review of school exclusion so we do not see children removed from school when they have only just returned?",14128,"Edward","Timpson","02/07/2020","Conservative","Eddisbury",2
